片手剣,溶岩剣ラヴァーシカ@（HC武器）,110000,2,280,火:320,24@18@31@14@0@0@24@18@31@32@0@0,0,1,片手剣魂・序×15:溶岩竜の旋ビレ×2:雌火竜の鋼殻×1:溶岩竜の鋭牙×16,SR17,,,,,
片手剣,溶岩剣ラヴァミーナ@（HC武器）,375000,4,308,火:550,24@18@31@32@0@0@24@18@31@39@10@0,0,2,片手剣魂・中×15:片手剣魂・序×15:火竜の獄鱗×1,SR31,,,,,
片手剣,火山剣ヴォルケイン@（HC武器）,550000,6,350,火:600,24@18@31@39@10@0@24@18@31@39@21@7,0,2,片手剣魂・中×15:銀火竜の翼×7:溶岩竜の刃ビレ×2,SR31,,,,,
片手剣,火山剣ヴォルクロス@（HC武器）,850000,7,392,火:660,24@18@31@39@10@0@24@18@31@39@21@7,0,3,片手剣魂・極×15:神々しいクチバシ×1:溶岩竜の凄ビレ×2,SR100,,,,,
片手剣,氷雪剣ドド@（HC武器）,120000,1,252,氷:100,28@7@31@21@0@0@28@7@31@39@0@0,0,1,片手剣魂・序×15:雪獅子の砕牙×1:桃毛獣の蛮爪×1:雪獅子の髭×12,SR8,,,,,
片手剣,氷雪剣ドドド@（HC武器）,380000,3,294,氷:150,28@7@31@39@0@0@28@7@31@42@14@0,0,2,片手剣魂・中×15:片手剣魂・序×15:盾蟹の斬爪×1,SR31,,,,,
片手剣,氷刃剣ドドドド@（HC武器）,620000,5,336,氷:250,28@7@31@42@14@0@28@7@31@42@25@7,0,2,片手剣魂・中×15:雪獅子の穿牙×1:氷狐竜の靭尾×9,SR31,,,,,
片手剣,氷刃剣デア＝ドド@（HC武器）,925000,6,364,氷:320,28@7@31@42@14@0@28@7@31@42@25@7,0,3,片手剣魂・極×15:雪獅子の妖牙×2:眠鳥の銀朱毛×2,SR100,,,,,
片手剣,黄金獣棍【強】@（HC武器）,119000,2,280,雷:180@麻痺:50,7@18@62@0@0@0@7@18@62@18@0@0,5,0,片手剣魂・序×15:ランポスの鮮鱗×1:キリンの最上皮×1:黄金の毛×12,SR22,,,,,
片手剣,黄金獣棍【恐】@（HC武器）,293000,3,308,雷:200@麻痺:100,7@18@62@18@0@0@7@18@62@18@17@0,10,1,片手剣魂・中×15:片手剣魂・序×15:凶悪なねじれた角×1,SR31,,,,,
片手剣,黄金獣棍【驚】@（HC武器）,475000,5,336,雷:240@麻痺:150,7@18@62@18@17@0@7@18@62@18@24@11,15,1,片手剣魂・中×15:金獅子の猛牙×1:プニプニした柔皮×1,SR31,,,,,
片手剣,黄金獣棍【狂】@（HC武器）,825000,7,364,雷:380@麻痺:200,7@18@62@18@17@0@7@18@62@18@24@11,20,2,片手剣魂・極×15:金獅子の漆黒毛×1:キリンの銀角×1,SR100,,,,,
片手剣,ヴェノムチョッパー@（HC武器）,110000,1,252,毒:320@防+5,45@4@10@28@0@0@45@4@10@46@0@0,0,1,片手剣魂・序×15:ゴム質の最上皮×1:逞しいクチバシ×1:ゴム質の上皮×12,SR5,,,,,
片手剣,ヴェノムブレイカー@（HC武器）,365000,2,280,毒:370@防+8,45@4@10@46@0@0@45@4@10@56@7@0,0,1,片手剣魂・中×15:片手剣魂・序×15:ゴム質の極上皮×1,SR31,,,,,
片手剣,ヴェノムザッパー@（HC武器）,510000,4,308,毒:440@防+16,45@4@10@56@7@0@45@4@10@56@21@4,0,2,片手剣魂・中×15:黒狼鳥の紫翼×1:岩竜の頑殻×1,SR51,,,,,
片手剣,ヴェノムキリング@（HC武器）,800000,6,350,毒:510@防+28,45@4@10@56@7@0@45@4@10@56@21@4,0,3,片手剣魂・極×15:毒怪鳥の石頭×1:棘竜の快棘×1,SR100,,,,,
片手剣,蒼翼剣シエルエッジ@（HC武器）,120000,3,280,龍:280@毒:180@リーチ:極短,28@7@31@21@0@0@28@7@31@39@0@0,5,0,片手剣魂・序×15:プニプニした柔皮×1:氷狐竜の冷殻×1:蒼火竜の堅殻×14,SR22,,,,,
片手剣,蒼翼剣シエルブレイド@（HC武器）,380000,5,322,龍:390@毒:200@リーチ:極短,28@7@31@39@0@0@28@7@31@42@14@0,10,0,片手剣魂・中×15:片手剣魂・序×15:蒼火竜の禍鱗×1,SR31,,,,,
